person_id,full_name,gender,photo_path,tg_nick,person_position,github_nick,email
0,Piper Dingledine,female,./female/image1.jpeg,@Pine,Middle Researcher,@piper_dingledine,piper_dingledine@nvidia.com
1,Dennis Cardenas,male,./male/image13.jpeg,@Deas,Junior Developper,@dennis_cardenas,dennis_cardenas@nvidia.com
2,William Mooney,male,./male/image19.jpeg,@Wiey,Junior Researcher,@william_mooney,william_mooney@nvidia.com
3,Ashley Rifkin,female,./female/image14.jpeg,@Asin,Middle Researcher,@ashley_rifkin,ashley_rifkin@nvidia.com
4,Lisa Yruegas,female,./female/image15.jpeg,@Lias,Senior Developper,@lisa_yruegas,lisa_yruegas@nvidia.com
5,Ellen Smith,female,./female/image16.jpeg,@Elth,Middle Researcher,@ellen_smith,ellen_smith@nvidia.com
6,Dotty Deason,female,./female/image17.jpeg,@Doon,Senior Researcher,@dotty_deason,dotty_deason@nvidia.com
7,Nickolas McCarney,male,./male/image15.jpeg,@Niey,Junior Developper,@nickolas_mccarney,nickolas_mccarney@nvidia.com
8,Dennis Gist,male,./male/image16.jpeg,@Dest,Middle Developper,@dennis_gist,dennis_gist@nvidia.com
9,Juanita Delabarre,female,./female/image2.jpeg,@Jure,Junior Researcher,@juanita_delabarre,juanita_delabarre@nvidia.com
10,Nancy Villanueva,female,./female/image30.jpeg,@Nava,Junior Developper,@nancy_villanueva,nancy_villanueva@nvidia.com
11,Samuel Iaccarino,male,./male/image14.jpeg,@Sano,Middle Developper,@samuel_iaccarino,samuel_iaccarino@nvidia.com
12,Julie Lams,female,./female/image20.jpeg,@Jums,Senior Developper,@julie_lams,julie_lams@nvidia.com
13,Bernice Schuck,female,./female/image25.jpeg,@Beck,Middle Developper,@bernice_schuck,bernice_schuck@nvidia.com
14,Tanner Harrington,male,./male/image17.jpeg,@Taon,Senior Researcher,@tanner_harrington,tanner_harrington@nvidia.com
15,Norman Ruiz,male,./male/image12.jpeg,@Noiz,Junior Researcher,@norman_ruiz,norman_ruiz@nvidia.com
16,Phyllis Harris,female,./female/image24.jpeg,@Phis,Middle Researcher,@phyllis_harris,phyllis_harris@nvidia.com
17,Kyle Nava,female,./female/image27.jpeg,@Kyva,Junior Researcher,@kyle_nava,kyle_nava@nvidia.com
18,Jimmie Shah,male,./male/image30.jpeg,@Jiah,Senior Researcher,@jimmie_shah,jimmie_shah@nvidia.com
19,Jeffrey Gutierrez,male,./male/image45.jpeg,@Jeez,Middle Developper,@jeffrey_gutierrez,jeffrey_gutierrez@nvidia.com
20,Kyle Espinoza,female,./female/image28.jpeg,@Kyza,Middle Developper,@kyle_espinoza,kyle_espinoza@nvidia.com
21,Richard Rivera,male,./male/image34.jpeg,@Rira,Junior Researcher,@richard_rivera,richard_rivera@nvidia.com
22,Dorothy McWilliams,female,./female/image26.jpeg,@Doms,Senior Developper,@dorothy_mcwilliams,dorothy_mcwilliams@nvidia.com
23,Arthur Klopp,male,./male/image7.jpeg,@Arpp,Middle Developper,@arthur_klopp,arthur_klopp@nvidia.com
24,Eugene Tucker,male,./male/image6.jpeg,@Euer,Senior Researcher,@eugene_tucker,eugene_tucker@nvidia.com
25,Terri Kestler,female,./female/image12.jpeg,@Teer,Senior Researcher,@terri_kestler,terri_kestler@nvidia.com
26,Robert Flynn,male,./male/image54.jpeg,@Ronn,Senior Researcher,@robert_flynn,robert_flynn@nvidia.com
27,Karen Puckett,female,./female/image10.jpeg,@Katt,Senior Developper,@karen_puckett,karen_puckett@nvidia.com
28,Nathanial Desantis,male,./male/image53.jpeg,@Nais,Junior Developper,@nathanial_desantis,nathanial_desantis@nvidia.com
29,Jennifer Taylor,female,./female/image19.jpeg,@Jeor,Middle Developper,@jennifer_taylor,jennifer_taylor@nvidia.com
30,Charles Chavarria,male,./male/image32.jpeg,@Chia,Senior Researcher,@charles_chavarria,charles_chavarria@nvidia.com
31,David Teller,male,./male/image10.jpeg,@Daer,Junior Researcher,@david_teller,david_teller@nvidia.com
32,Jennifer Deangelis,female,./female/image34.jpeg,@Jeis,Middle Developper,@jennifer_deangelis,jennifer_deangelis@nvidia.com
33,Virginia Dollar,female,./female/image35.jpeg,@Viar,Senior Developper,@virginia_dollar,virginia_dollar@nvidia.com
34,Rickie Kerr,male,./male/image24.jpeg,@Rirr,Senior Developper,@rickie_kerr,rickie_kerr@nvidia.com
35,Dwight Quinn,male,./male/image1.jpeg,@Dwnn,Junior Developper,@dwight_quinn,dwight_quinn@nvidia.com
36,Evelyn Massey,female,./female/image41.jpeg,@Evey,Middle Researcher,@evelyn_massey,evelyn_massey@nvidia.com
37,John Dworaczyk,male,./male/image3.jpeg,@Joyk,Middle Researcher,@john_dworaczyk,john_dworaczyk@nvidia.com
38,Pamela Nelson,female,./female/image38.jpeg,@Paon,Junior Developper,@pamela_nelson,pamela_nelson@nvidia.com
39,Troy Payne,male,./male/image20.jpeg,@Trne,Junior Developper,@troy_payne,troy_payne@nvidia.com
40,Marvin Kelly,male,./male/image29.jpeg,@Maly,Middle Researcher,@marvin_kelly,marvin_kelly@nvidia.com
41,Ruben Thorne,male,./male/image28.jpeg,@Rune,Junior Developper,@ruben_thorne,ruben_thorne@nvidia.com
42,William Lingner,male,./male/image27.jpeg,@Wier,Junior Developper,@william_lingner,william_lingner@nvidia.com
43,Lucien Ewing,male,./male/image26.jpeg,@Lung,Middle Developper,@lucien_ewing,lucien_ewing@nvidia.com
44,Shanna Streeter,female,./female/image40.jpeg,@Sher,Middle Developper,@shanna_streeter,shanna_streeter@nvidia.com
45,Teresa Bush,female,./female/image42.jpeg,@Tesh,Middle Researcher,@teresa_bush,teresa_bush@nvidia.com
46,Elisabeth Aslesen,female,./female/image43.jpeg,@Elen,Middle Developper,@elisabeth_aslesen,elisabeth_aslesen@nvidia.com
47,Cheryl Henry,female,./female/image44.jpeg,@Chry,Junior Researcher,@cheryl_henry,cheryl_henry@nvidia.com
48,Wendell Reagan,male,./male/image38.jpeg,@Wean,Senior Developper,@wendell_reagan,wendell_reagan@nvidia.com
49,George Niese,male,./male/image51.jpeg,@Gese,Middle Researcher,@george_niese,george_niese@nvidia.com
50,Colleen Banach,female,./female/image47.jpeg,@Coch,Middle Developper,@colleen_banach,colleen_banach@nvidia.com
51,Dorothy Ortega,female,./female/image48.jpeg,@Doga,Junior Researcher,@dorothy_ortega,dorothy_ortega@nvidia.com
52,Steven Syvertsen,male,./male/image23.jpeg,@Sten,Middle Developper,@steven_syvertsen,steven_syvertsen@nvidia.com
